arm,subject,file_name,mean_gesture_z,max_gesture_z,mean_dist,gestures
left arm,subject12,subject12_session02_filtered.npz,14.15230623881022,34.116214752197266,0.5893253286679586,6
left arm,subject12,subject12_session06_filtered.npz,4.155123104651769,10.774970054626465,0.24480609595775604,6
left arm,Matthew,Matthew_session01_filtered.npz,2.0574873785177865,7.0020365715026855,0.17330777396758398,6
left arm,subject08,subject08_session01_filtered.npz,1.832346002260844,4.108728408813477,0.17388186107079187,6
left arm,Matthew,Matthew_session03_filtered.npz,1.2090525085416932,4.990844249725342,0.14599277327458063,6
left arm,Matthew,Matthew_session02_filtered.npz,1.0841900451729696,4.457151412963867,0.14487701406081518,6
left arm,subject12,subject12_session01_filtered.npz,0.3535251629849275,1.9598580598831177,0.12195109700163205,6
left arm,subject12,subject12_session07_filtered.npz,0.25418442487716675,1.6129570007324219,0.12150562182068825,6
left arm,subject08,subject08_session05_filtered.npz,0.09732348999629419,0.6824643015861511,0.11754584809144338,6
left arm,subject08,subject08_session07_filtered.npz,0.0855902520318826,0.6908308863639832,0.11803578709562619,6
left arm,subject08,subject08_session02_filtered.npz,0.08406278056403,0.6520851254463196,0.11857106288274129,6
left arm,subject08,subject08_session04_filtered.npz,0.035419801250100136,0.674490749835968,0.11671281605958939,6
left arm,subject08,subject08_session06_filtered.npz,0.015681195072829723,0.6803564429283142,0.11577489723761876,6
left arm,subject08,subject08_session03_filtered.npz,-0.000919049644532303,0.6261942386627197,0.11669293542702992,6
left arm,subject12,subject12_session05_filtered.npz,-0.07908441871404648,0.6232898831367493,0.1075540321568648,6
left arm,Matthew,Matthew_session09_filtered.npz,-0.2778504366676013,0.38990160822868347,0.10207244629661243,6
left arm,Matthew,Matthew_session04_filtered.npz,-0.3095718522866567,1.582301139831543,0.09056579818328221,6
left arm,Matthew,Matthew_session10_filtered.npz,-0.36196571091810864,0.8326866030693054,0.10070068513353665,6
left arm,Matthew,Matthew_session05_filtered.npz,-0.4673522785305977,1.0592985153198242,0.08535900649925073,6
left arm,Matthew,Matthew_session06_filtered.npz,-0.535183921456337,0.674490749835968,0.09138264196614425,6
left arm,Matthew,Matthew_session08_filtered.npz,-0.6672180394331614,0.7798681855201721,0.09331500095625718,6
