arm,subject,file,file_name,n_samples,n_channels,n_windows,duration_s,channel_rms_mean,channel_rms_std,channel_rms_min,channel_rms_max,channel_rms_cv,dead_channels_lt1,dead_channels_lt2,sat_channels_gt5000,label_unknown_frac,label_frac_neutral,label_frac_neutral_buffer,label_frac_left_turn,label_frac_right_turn,label_frac_signal_left,label_frac_signal_right,label_frac_horn,window_conf_mean,window_conf_p10,window_conf_p25,window_low_conf_frac_lt08,train_kept_windows,train_keep_frac,kept_frac_neutral,kept_frac_left_turn,kept_frac_right_turn,kept_frac_signal_left,kept_frac_signal_right,kept_frac_horn,has_calib,calib_neutral_rms_mean,calib_mvc_rms_mean,calib_ratio_mean,calib_ratio_median,calib_ratio_min,calib_ratio_max,calib_weak_ch_lt15,calib_weak_ch_lt20
right arm,Matthew,data/right arm/Matthew/filtered/Matthew_session01_relabeled_first_gesture_dropped_filtered.npz,Matthew_session01_relabeled_first_gesture_dropped_filtered.npz,363474,17,3633,181.737,0.04498792812228203,0.03988182172179222,0.015460890717804432,0.1872796267271042,0.8865005373954773,17,17,0,0.0,0.1365595470879104,0.2080488129485355,0.10925582776236448,0.13653907185782,0.13653907185782,0.1365595470879104,0.1364981213976392,0.8384255436278558,0.0,1.0,0.16157445637214424,2378,0.6545554638040187,0.1724137931034483,0.13793103448275862,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,1,0.043623730540275574,0.058449484407901764,1.546797752380371,1.7211196422576904,0.7099993824958801,2.6689505577087402,7,16
right arm,Matthew,data/right arm/Matthew/filtered/Matthew_session02_relabeled_first_gesture_dropped_filtered.npz,Matthew_session02_relabeled_first_gesture_dropped_filtered.npz,363042,17,3629,181.521,0.04368866607546806,0.04275514930486679,0.015718698501586914,0.20704343914985657,0.9786325097084045,17,17,0,0.0,0.13667395612656325,0.20702521697532975,0.10931456297409964,0.13671495933848152,0.1367593794847263,0.1367764641563589,0.13673546094444064,0.8382474510884541,0.0,1.0,0.1617525489115459,2379,0.6555524937999448,0.1723413198823035,0.13787305590584278,0.1723413198823035,0.1723413198823035,0.17276166456494324,0.1723413198823035,1,0.009703246876597404,0.18194766342639923,29.757736206054688,15.364752769470215,2.980813980102539,107.27871704101562,0,0
right arm,Matthew,data/right arm/Matthew/filtered/Matthew_session03_relabeled_first_gesture_dropped_filtered.npz,Matthew_session03_relabeled_first_gesture_dropped_filtered.npz,363420,17,3633,181.71,0.036124855279922485,0.041442204266786575,0.01643153838813305,0.19469910860061646,1.1471936702728271,17,17,0,0.0,0.13659784134095,0.20798519464466805,0.10923729884213654,0.13663540105235483,0.1365329654757962,0.13659784134095,0.13641345730314444,0.8387007982383705,0.0,1.0,0.1612992017616295,2378,0.6545554638040187,0.1724137931034483,0.13793103448275862,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,1,0.011802677996456623,0.08441761136054993,14.16742992401123,4.164366722106934,3.0184717178344727,50.072933197021484,0,0
right arm,Matthew,data/right arm/Matthew/filtered/Matthew_session04_relabeled_first_gesture_dropped_filtered.npz,Matthew_session04_relabeled_first_gesture_dropped_filtered.npz,363258,17,3631,181.629,0.028939664363861084,0.037788938730955124,0.01072089746594429,0.1728542298078537,1.3057836294174194,17,17,0,0.0,0.1365181539553711,0.20789504221929458,0.1092513839873854,0.13653521915124542,0.13655911042546948,0.13660006689556783,0.1366410233656662,0.8394381713026714,0.0,1.0,0.16056182869732855,2380,0.6554668135499863,0.1722689075630252,0.13781512605042018,0.1722689075630252,0.1722689075630252,0.1726890756302521,0.1726890756302521,1,0.009433431550860405,0.06671310216188431,13.801430702209473,3.613002061843872,1.9118363857269287,48.622161865234375,0,1
right arm,Matthew,data/right arm/Matthew/filtered/Matthew_session05_relabeled_first_gesture_dropped_filtered.npz,Matthew_session05_relabeled_first_gesture_dropped_filtered.npz,362826,17,3627,181.413,0.03810039907693863,0.04603062942624092,0.016454705968499184,0.21515007317066193,1.2081403732299805,17,17,0,0.0,0.1369785621103019,0.20560651662540702,0.109521217039373,0.1369991063265914,0.13691692946143336,0.1369785621103019,0.1369991063265914,0.8367797077474497,0.0,1.0,0.16322029225255033,2378,0.6556382685414943,0.1724137931034483,0.13793103448275862,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,1,0.011941231787204742,0.17946301400661469,28.976909637451172,30.345115661621094,1.32358717918396,54.87600326538086,1,1
right arm,Matthew,data/right arm/Matthew/filtered/Matthew_session06_relabeled_first_gesture_dropped_filtered.npz,Matthew_session06_relabeled_first_gesture_dropped_filtered.npz,363204,17,3631,181.602,0.03380371630191803,0.04508254677057266,0.010227825492620468,0.19870111346244812,1.3336565494537354,17,17,0,0.0,0.1365200412362688,0.208113440702382,0.10920784035282953,0.13665999877110457,0.13649955964580504,0.13649955964580504,0.13649955964580504,0.8386119526301294,0.0,1.0,0.16138804736987056,2378,0.6549160011016248,0.1724137931034483,0.13793103448275862,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,1,0.0076460279524326324,0.054700836539268494,9.883974075317383,5.395825386047363,1.6659287214279175,28.29437255859375,0,1
right arm,Matthew,data/right arm/Matthew/filtered/Matthew_session07_relabeled_first_gesture_dropped_filtered.npz,Matthew_session07_relabeled_first_gesture_dropped_filtered.npz,362664,17,3625,181.332,0.03104306012392044,0.03933809697628021,0.011019937694072723,0.1775692105293274,1.2672107219696045,17,17,0,0.0,0.13696067096738884,0.20631836745862892,0.10944950299978792,0.13683411206961424,0.1368170095158609,0.13679648645135692,0.13682385053736223,0.8388965517241379,0.0,1.0,0.16110344827586207,2378,0.656,0.1724137931034483,0.13793103448275862,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,1,0.04420720040798187,0.08489678800106049,18.976715087890625,3.6089115142822266,0.07249973714351654,155.8418731689453,4,4
right arm,Matthew,data/right arm/Matthew/filtered/Matthew_session08_relabeled_first_gesture_dropped_filtered.npz,Matthew_session08_relabeled_first_gesture_dropped_filtered.npz,363582,17,3634,181.791,0.03370378911495209,0.04285687953233719,0.012401599436998367,0.19591566920280457,1.2715744972229004,17,17,0,0.0,0.13669757672011887,0.2074901378144372,0.10928838567549568,0.13663609816076644,0.1365951124545315,0.1366770838670014,0.13661560530764896,0.837369290038525,0.0,1.0,0.16263070996147497,2378,0.6543753439735829,0.1724137931034483,0.13793103448275862,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,1,0.007062250282615423,0.0746908187866211,15.130254745483398,10.09825325012207,2.66922664642334,46.65114974975586,0,0
right arm,Matthew,data/right arm/Matthew/filtered/Matthew_session09_filtered.npz,Matthew_session09_filtered.npz,365256,17,3651,182.628,0.02592720277607441,0.010350605472922325,0.011531630530953407,0.0611894391477108,0.39921799302101135,17,17,0,0.0,0.14813333333333334,0.11114074074074073,0.14817777777777777,0.14817777777777777,0.1481037037037037,0.1481185185185185,0.14814814814814814,0.7721172281566694,0.0,1.0,0.22788277184333058,2460,0.6737880032867708,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,1,0.03190545365214348,0.14018936455249786,7.900850296020508,8.219242095947266,1.071893572807312,18.143390655517578,3,5
right arm,Matthew,data/right arm/Matthew/filtered/Matthew_session10_filtered.npz,Matthew_session10_filtered.npz,365310,17,3652,182.655,0.02447008527815342,0.009561612270772457,0.009924832731485367,0.05502641946077347,0.39074698090553284,17,17,0,0.0,0.14813936951884332,0.111297108319507,0.14810974164493956,0.14813936951884332,0.14809492770798768,0.14812455558189144,0.14809492770798768,0.7721796276013143,0.0,1.0,0.22782037239868566,2460,0.6736035049288062,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,1,0.010434329509735107,0.08058223128318787,8.766413688659668,8.235382080078125,4.023532390594482,16.42439842224121,0,0
