arm,subject,file_name,n_kept_windows,n_present_classes,sep_score_all,sep_score_active_only,active_vs_neutral_amp_ratio,kept_label_entropy_bits,cnt_neutral,cnt_left_turn,cnt_right_turn,cnt_signal_left,cnt_signal_right,cnt_horn
right arm,subject09,subject09_session04_filtered.npz,2460,6,1.6169427616639378,1.4126737849350441,1.5701759960662198,2.584962500721156,410,410,410,410,410,410
right arm,subject09,subject09_session05_filtered.npz,2459,6,1.385325846503903,1.2048027660226093,1.4589134152447756,2.58496190391518,410,410,410,410,410,409
right arm,subject09,subject09_session06_filtered.npz,2461,6,1.5223933669570853,1.4040522532743656,1.3792843678625732,2.5849619055303514,410,410,410,410,411,410
right arm,subject10,subject10_session01_filtered.npz,2460,6,0.5440163083771652,0.5762008770924095,1.4754020902972624,2.584962500721156,410,410,410,410,410,410
right arm,subject10,subject10_session02_filtered.npz,2460,6,1.1086235911803872,1.0200592157615955,2.1483928800689034,2.584962500721156,410,410,410,410,410,410
right arm,subject10,subject10_session03_filtered.npz,2460,6,1.289875249055964,1.2838469756953885,1.083282120492481,2.584962500721156,410,410,410,410,410,410
right arm,subject10,subject10_session04_filtered.npz,2460,6,1.3104232280184636,1.3531883193920142,2.6691366487613237,2.584962500721156,410,410,410,410,410,410
right arm,subject10,subject10_session05_filtered.npz,2460,6,1.0517943162817063,1.13799364043297,2.2980068144325143,2.584962500721156,410,410,410,410,410,410
right arm,subject10,subject10_session06_filtered.npz,2460,6,1.323873978813505,1.4787561299808911,1.443807220706375,2.584962500721156,410,410,410,410,410,410
right arm,subject10,subject10_session07_filtered.npz,2460,6,1.0521884506009824,1.1475648416707123,2.097594544944292,2.584962500721156,410,410,410,410,410,410
right arm,subject10,subject10_session08_filtered.npz,2460,6,1.4051711686044495,1.4679825639387212,1.8872428708179796,2.584962500721156,410,410,410,410,410,410
right arm,subject11,subject11_session01_filtered.npz,2461,6,1.1997628207724298,0.9991962972865156,1.739404394522514,2.5849619055303514,411,410,410,410,410,410
right arm,subject11,subject11_session02_filtered.npz,2460,6,1.046905472595063,0.8823244290270285,1.6997468751633018,2.584962500721156,410,410,410,410,410,410
right arm,subject11,subject11_session03_filtered.npz,2460,6,1.3584354153543166,1.2662856510958493,1.488551491469132,2.584962500721156,410,410,410,410,410,410
right arm,subject11,subject11_session04_filtered.npz,2460,6,1.351486218920035,1.0986053687612516,1.7728968910664051,2.584962500721156,410,410,410,410,410,410
right arm,subject11,subject11_session05_filtered.npz,2460,6,1.52550806912281,1.3708012836478747,1.6886064736122783,2.584962500721156,410,410,410,410,410,410
right arm,subject11,subject11_session06_filtered.npz,2460,6,0.8949698735814262,0.8249389867005185,1.2946989803463624,2.584962500721156,410,410,410,410,410,410
right arm,subject11,subject11_session07_filtered.npz,2460,6,1.1300776601237488,0.9129143041715306,1.5100395745989446,2.584962500721156,410,410,410,410,410,410
