timestamp,elapsed_s,prompt_label,mode,pred_label,pred_conf,right_label,right_conf,left_label,left_conf,right_left_turn,left_left_turn,fused_left_turn,right_neutral,left_neutral,fused_neutral,right_right_turn,left_right_turn,fused_right_turn,right_signal_left,left_signal_left,fused_signal_left,right_signal_right,left_signal_right,fused_signal_right
2026-03-09T17:00:39.475818,0.0,neutral,dual,neutral,0.0,neutral,0.0,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09T17:00:40.493829,1.015,neutral,dual,signal_right,0.658672571182251,neutral,0.9441654086112976,signal_right,0.658672571182251,0.021702969446778297,0.00925381388515234,0.015478391467753908,0.9441654086112976,0.13422860205173492,0.5391969984267291,0.012853320688009262,0.14656716585159302,0.07971024224905686,0.017246829345822334,0.051277853548526764,0.034262341008421786,0.004031491000205278,0.658672571182251,0.33135202684803833
2026-03-09T17:00:41.485296,2.014,neutral,dual,signal_right,0.849026083946228,neutral,0.9351030588150024,signal_right,0.849026083946228,0.01986169070005417,0.00433885445818305,0.01210027248614724,0.9351030588150024,0.054870449006557465,0.4949867501075932,0.005404120311141014,0.0782446339726448,0.04182437682053902,0.03569820523262024,0.013520056381821632,0.024609130618138866,0.003932862542569637,0.849026083946228,0.4264794699675817
2026-03-09T17:00:42.484178,3.013,neutral,dual,signal_right,0.9227076172828674,neutral,0.9750045537948608,signal_right,0.9227076172828674,0.006499258801341057,0.0016681540291756392,0.004083706493700339,0.9750045537948608,0.05423213168978691,0.514618352627385,0.005868179723620415,0.01752951741218567,0.011698848792620708,0.009271091781556606,0.0038625262677669525,0.006566809150800518,0.003356930799782276,0.9227076172828674,0.4630322829354935
2026-03-09T17:00:43.490154,4.012,neutral,dual,signal_right,0.9452758431434631,neutral,0.9473586678504944,signal_right,0.9452758431434631,0.011985077522695065,0.0018295858753845096,0.006907331791915561,0.9473586678504944,0.034825440496206284,0.4910920607765593,0.005560839548707008,0.013512327335774899,0.009536583570469567,0.03233279287815094,0.00455679465085268,0.018444794012509952,0.0027626038063317537,0.9452758431434631,0.4740192298485456
2026-03-09T17:00:44.482660,5.012,neutral,dual,signal_right,0.9102955460548401,neutral,0.9639598727226257,signal_right,0.9102955460548401,0.010681278072297573,0.0026078990194946527,0.006644588711431946,0.9639598727226257,0.0660565197467804,0.5150082090650402,0.005899854004383087,0.012888395227491856,0.009394124849972166,0.01577792689204216,0.008151616901159286,0.011964772194677644,0.003681041533127427,0.9102955460548401,0.45698830517887806
2026-03-09T17:00:45.494809,6.012,left_turn,dual,signal_right,0.9096691608428955,neutral,0.9685264825820923,signal_right,0.9096691608428955,0.006377481389790773,0.0028073282446712255,0.004592404569699043,0.9685264825820923,0.04746594280004501,0.5079961853099249,0.0037068515084683895,0.028534334152936935,0.016120591961798016,0.01784626953303814,0.011523237451910973,0.014684752700962068,0.0035430192947387695,0.9096691608428955,0.45660606545761595
2026-03-09T17:00:46.479537,7.009,left_turn,dual,signal_right,0.647428035736084,neutral,0.9677633047103882,signal_right,0.647428035736084,0.0065133292227983475,0.003947413992136717,0.005230371690277307,0.9677633047103882,0.10149700939655304,0.534630165517994,0.0031025903299450874,0.1348998248577118,0.06900120868628895,0.01804300583899021,0.11222776770591736,0.06513538780370876,0.004577686544507742,0.647428035736084,0.326002866301731
2026-03-09T17:00:47.485792,8.008,left_turn,dual,left_turn,0.9422797560691833,left_turn,0.9422797560691833,signal_right,0.7397184371948242,0.9422797560691833,0.002829538891091943,0.4725546703103683,0.01715489663183689,0.0519610196352005,0.03455795980309524,0.0062780482694506645,0.16131691634655,0.08379748635645454,0.03201185539364815,0.04417407140135765,0.038092965237863895,0.00227536354213953,0.7397184371948242,0.37099691829221804
2026-03-09T17:00:48.477669,9.008,left_turn,dual,left_turn,0.9709081053733826,left_turn,0.9709081053733826,signal_right,0.8745262622833252,0.9709081053733826,0.002046277979388833,0.48647721240421055,0.010278884321451187,0.014687994495034218,0.012483439940137208,0.0031947938259691,0.08950522541999817,0.04635001159786529,0.013681293465197086,0.019234128296375275,0.016457711582016483,0.001936949323862791,0.8745262622833252,0.43823162447577046
2026-03-09T17:00:49.483403,10.006,left_turn,dual,left_turn,0.9282774329185486,left_turn,0.9282774329185486,signal_right,0.7806179523468018,0.9282774329185486,0.0015262478264048696,0.4649018538758406,0.01784663274884224,0.023493824526667595,0.020670229238134597,0.006385409738868475,0.18305717408657074,0.09472129466395861,0.04467486962676048,0.011304722167551517,0.02798979671013708,0.0028156759217381477,0.7806179523468018,0.3917168255119291
