timestamp,elapsed_s,prompt_label,mode,pred_label,pred_conf,right_label,right_conf,left_label,left_conf,fused_left_turn,fused_neutral,fused_right_turn,fused_signal_left,fused_signal_right
2026-03-09T17:36:52.348079,0.0,neutral,right,neutral,0.0,neutral,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09T17:36:53.364244,1.022,neutral,right,left_turn,0.6851990818977356,left_turn,0.6851990818977356,,0.0,0.6851990818977356,0.1971719115972519,0.0200127474963665,0.07956989854574203,0.018046382814645767
2026-03-09T17:36:54.441579,2.069,neutral,right,neutral,0.7310103178024292,neutral,0.7310103178024292,,0.0,0.16019202768802643,0.7310103178024292,0.028467250987887383,0.05191219598054886,0.02841823361814022
2026-03-09T17:36:55.366584,3.022,neutral,right,neutral,0.529853105545044,neutral,0.529853105545044,,0.0,0.32868319749832153,0.529853105545044,0.04048129543662071,0.06261903792619705,0.03836340084671974
2026-03-09T17:36:56.354590,4.019,neutral,right,neutral,0.5666270852088928,neutral,0.5666270852088928,,0.0,0.2131163775920868,0.5666270852088928,0.032036177814006805,0.14895130693912506,0.03926904872059822
2026-03-09T17:36:57.360873,5.017,left_turn,right,neutral,0.7024526596069336,neutral,0.7024526596069336,,0.0,0.09348370879888535,0.7024526596069336,0.038848791271448135,0.14671500027179718,0.01849980838596821
2026-03-09T17:36:58.354835,6.017,left_turn,right,left_turn,0.7922857403755188,left_turn,0.7922857403755188,,0.0,0.7922857403755188,0.015541444532573223,0.009627851657569408,0.1770009547472,0.005544025916606188
2026-03-09T17:36:59.361413,7.017,left_turn,right,left_turn,0.9425291419029236,left_turn,0.9425291419029236,,0.0,0.9425291419029236,0.013318357989192009,0.006951231975108385,0.03480475768446922,0.0023965321015566587
2026-03-09T17:37:00.349933,8.016,left_turn,right,left_turn,0.6303585767745972,left_turn,0.6303585767745972,,0.0,0.6303585767745972,0.048730261623859406,0.013359631411731243,0.3030588626861572,0.004492697771638632
2026-03-09T17:37:01.358775,9.014,left_turn,right,left_turn,0.9353781342506409,left_turn,0.9353781342506409,,0.0,0.9353781342506409,0.013866303488612175,0.004357841797173023,0.0429668091237545,0.0034308696631342173
2026-03-09T17:37:02.352896,10.014,right_turn,right,left_turn,0.8113803863525391,left_turn,0.8113803863525391,,0.0,0.8113803863525391,0.032047662883996964,0.008459719829261303,0.14433901011943817,0.00377318705432117
2026-03-09T17:37:03.354855,11.012,right_turn,right,neutral,0.343839168548584,neutral,0.343839168548584,,0.0,0.2230490893125534,0.2979028820991516,0.12146490067243576,0.343839168548584,0.013743937015533447
2026-03-09T17:37:04.349253,12.012,right_turn,right,neutral,0.4106256663799286,neutral,0.4106256663799286,,0.0,0.4106256663799286,0.12826935946941376,0.3689679801464081,0.08691630512475967,0.005220678169280291
2026-03-09T17:37:05.350564,13.009,right_turn,right,neutral,0.4345584213733673,neutral,0.4345584213733673,,0.0,0.4345584213733673,0.33962148427963257,0.13971854746341705,0.08001131564378738,0.0060902549885213375
2026-03-09T17:37:06.343397,14.009,right_turn,right,neutral,0.3505638539791107,neutral,0.3505638539791107,,0.0,0.3505638539791107,0.25937268137931824,0.17872624099254608,0.2050980180501938,0.006239172536879778
2026-03-09T17:37:07.353521,15.008,signal_left,right,neutral,0.5393521785736084,neutral,0.5393521785736084,,0.0,0.5393521785736084,0.19909152388572693,0.16173365712165833,0.09307370334863663,0.006748956628143787
2026-03-09T17:37:08.343674,16.009,signal_left,right,neutral,0.474378377199173,neutral,0.474378377199173,,0.0,0.2772340178489685,0.474378377199173,0.09880735725164413,0.12854085862636566,0.02103935368359089
2026-03-09T17:37:09.348979,17.007,signal_left,right,signal_left,0.9224615097045898,signal_left,0.9224615097045898,,0.0,0.05685698986053467,0.012956410646438599,0.005134160164743662,0.9224615097045898,0.0025909605901688337
2026-03-09T17:37:10.340254,18.005,signal_left,right,signal_left,0.7533198595046997,signal_left,0.7533198595046997,,0.0,0.18698622286319733,0.03926517814397812,0.013958430849015713,0.7533198595046997,0.006470351479947567
2026-03-09T17:37:11.346436,19.004,signal_left,right,signal_left,0.8783264756202698,signal_left,0.8783264756202698,,0.0,0.09870859235525131,0.01219847146421671,0.007865998893976212,0.8783264756202698,0.0029004872776567936
2026-03-09T17:37:12.345791,20.004,signal_right,right,signal_left,0.9696459174156189,signal_left,0.9696459174156189,,0.0,0.014886267483234406,0.00813939981162548,0.004574040416628122,0.9696459174156189,0.0027543699834495783
2026-03-09T17:37:13.336690,21.003,signal_right,right,neutral,0.46291741728782654,neutral,0.46291741728782654,,0.0,0.46291741728782654,0.09544187784194946,0.023271972313523293,0.3965558707714081,0.021812835708260536
2026-03-09T17:37:14.343719,22.003,signal_right,right,neutral,0.5201316475868225,neutral,0.5201316475868225,,0.0,0.43102195858955383,0.03148112818598747,0.009980916045606136,0.5201316475868225,0.0073843770660459995
2026-03-09T17:37:15.334902,23.001,signal_right,right,neutral,0.4903111159801483,neutral,0.4903111159801483,,0.0,0.4453982412815094,0.02321654185652733,0.01719130575656891,0.4903111159801483,0.023882893845438957
2026-03-09T17:37:16.361117,24.027,signal_right,right,signal_left,0.8645519018173218,signal_left,0.8645519018173218,,0.0,0.1062873974442482,0.01454934012144804,0.006531118415296078,0.8645519018173218,0.008080237545073032
2026-03-09T17:37:17.372083,25.026,neutral,right,signal_left,0.7757096886634827,signal_left,0.7757096886634827,,0.0,0.17893192172050476,0.021696414798498154,0.005899033509194851,0.7757096886634827,0.017762944102287292
2026-03-09T17:37:18.359477,26.024,neutral,right,left_turn,0.6479088068008423,left_turn,0.6479088068008423,,0.0,0.6479088068008423,0.13444769382476807,0.031081710010766983,0.17791542410850525,0.008646338246762753
2026-03-09T17:37:19.365624,27.024,neutral,right,neutral,0.5283197164535522,neutral,0.5283197164535522,,0.0,0.13759805262088776,0.5283197164535522,0.05447188392281532,0.25758805871009827,0.02202226221561432
2026-03-09T17:37:20.357490,28.023,neutral,right,neutral,0.6040562987327576,neutral,0.6040562987327576,,0.0,0.14544115960597992,0.6040562987327576,0.05333498865365982,0.16693581640720367,0.030231697484850883
2026-03-09T17:37:21.364611,29.022,neutral,right,neutral,0.6653579473495483,neutral,0.6653579473495483,,0.0,0.1327192634344101,0.6653579473495483,0.059376295655965805,0.11505485326051712,0.027491655200719833
2026-03-09T17:37:22.359118,30.021,left_turn,right,neutral,0.5346749424934387,neutral,0.5346749424934387,,0.0,0.157510906457901,0.5346749424934387,0.048836879432201385,0.23031781613826752,0.028659453615546227
2026-03-09T17:37:23.362810,31.021,left_turn,right,left_turn,0.5992780923843384,left_turn,0.5992780923843384,,0.0,0.5992780923843384,0.2735846936702728,0.020101575180888176,0.09727256745100021,0.009763079695403576
2026-03-09T17:37:24.355839,32.02,left_turn,right,left_turn,0.9666617512702942,left_turn,0.9666617512702942,,0.0,0.9666617512702942,0.013287623412907124,0.0042111570946872234,0.013333342969417572,0.0025062114000320435
2026-03-09T17:37:25.359508,33.018,left_turn,right,left_turn,0.9767044186592102,left_turn,0.9767044186592102,,0.0,0.9767044186592102,0.009520585648715496,0.003921803552657366,0.007733515463769436,0.00211970298551023
2026-03-09T17:37:26.352667,34.018,left_turn,right,left_turn,0.9494490623474121,left_turn,0.9494490623474121,,0.0,0.9494490623474121,0.01601227931678295,0.004420038778334856,0.027246084064245224,0.0028724942822009325
2026-03-09T17:37:27.367327,35.017,right_turn,right,left_turn,0.9702526330947876,left_turn,0.9702526330947876,,0.0,0.9702526330947876,0.01117032766342163,0.004871897399425507,0.010343589819967747,0.003361507784575224
2026-03-09T17:37:28.353378,36.014,right_turn,right,left_turn,0.7871060371398926,left_turn,0.7871060371398926,,0.0,0.7871060371398926,0.11560333520174026,0.026624182239174843,0.06503168493509293,0.005634750705212355
2026-03-09T17:37:29.349747,37.015,right_turn,right,left_turn,0.6364210844039917,left_turn,0.6364210844039917,,0.0,0.6364210844039917,0.17840717732906342,0.03752196207642555,0.14312884211540222,0.004520955961197615
2026-03-09T17:37:30.355495,38.014,right_turn,right,neutral,0.30204007029533386,neutral,0.30204007029533386,,0.0,0.27040237188339233,0.30204007029533386,0.15742836892604828,0.26216644048690796,0.007962754927575588
2026-03-09T17:37:31.346707,39.013,right_turn,right,neutral,0.4485844075679779,neutral,0.4485844075679779,,0.0,0.4485844075679779,0.2703181803226471,0.19356584548950195,0.07955514639616013,0.007976433262228966
2026-03-09T17:37:32.355110,40.012,signal_left,right,neutral,0.3019060492515564,neutral,0.3019060492515564,,0.0,0.25611409544944763,0.2189209759235382,0.3019060492515564,0.21591942012310028,0.007139506749808788
2026-03-09T17:37:33.346671,41.012,signal_left,right,neutral,0.5630429983139038,neutral,0.5630429983139038,,0.0,0.15206193923950195,0.5630429983139038,0.051086314022541046,0.21181991696357727,0.0219888873398304
2026-03-09T17:37:34.352868,42.01,signal_left,right,signal_left,0.970797061920166,signal_left,0.970797061920166,,0.0,0.013954375870525837,0.00833450723439455,0.004463659133762121,0.970797061920166,0.002450360683724284
2026-03-09T17:37:35.344028,43.009,signal_left,right,signal_left,0.8219102025032043,signal_left,0.8219102025032043,,0.0,0.15705879032611847,0.011768149212002754,0.006280458532273769,0.8219102025032043,0.002982435980811715
2026-03-09T17:37:36.354112,44.008,signal_left,right,signal_left,0.876948893070221,signal_left,0.876948893070221,,0.0,0.09490431100130081,0.01559843122959137,0.00934936385601759,0.876948893070221,0.0031990648712962866
