timestamp,elapsed_s,prompt_label,mode,pred_label,pred_conf,right_label,right_conf,left_label,left_conf,right_left_turn,left_left_turn,fused_left_turn,right_neutral,left_neutral,fused_neutral,right_right_turn,left_right_turn,fused_right_turn,right_signal_left,left_signal_left,fused_signal_left,right_signal_right,left_signal_right,fused_signal_right
2026-03-09T17:12:54.903673,0.0,neutral,dual,neutral,0.0,neutral,0.0,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09T17:12:55.916167,1.009,neutral,dual,neutral,0.9384428262710571,neutral,0.9384428262710571,signal_right,0.6054137945175171,0.03085203468799591,0.006917469669133425,0.01888475167071707,0.9384428262710571,0.08468189090490341,0.5115623448310768,0.005255632568150759,0.28632110357284546,0.14578836414996627,0.02218884788453579,0.01666576974093914,0.01942730829029947,0.0032606839668005705,0.6054137945175171,0.30433723105794047
2026-03-09T17:12:57.002474,2.077,neutral,dual,neutral,0.9052144289016724,neutral,0.9052144289016724,neutral,0.46982455253601074,0.05044109374284744,0.005552290473133326,0.027996692909764413,0.9052144289016724,0.015856238082051277,0.46053534668075097,0.009626312181353569,0.2429143190383911,0.1262703192260231,0.029128864407539368,0.26585257053375244,0.14749072169451014,0.005589272826910019,0.46982455253601074,0.23770691948895134
2026-03-09T17:12:57.905385,3.007,neutral,dual,neutral,0.949027419090271,neutral,0.949027419090271,neutral,0.545275092124939,0.011978445574641228,0.004830346442759037,0.008404396239602648,0.949027419090271,0.010325431823730469,0.47967643863563886,0.004758117254823446,0.1183636337518692,0.06156087719467085,0.030093569308519363,0.3212054669857025,0.17564952297290873,0.004142422694712877,0.545275092124939,0.2747087649571789
2026-03-09T17:12:58.915464,4.008,neutral,dual,neutral,0.9505764842033386,neutral,0.9505764842033386,neutral,0.5823718905448914,0.01667253114283085,0.003959131892770529,0.010315831887684323,0.9505764842033386,0.019519945606589317,0.48504823229681415,0.007041650358587503,0.28452593088150024,0.14578379584725587,0.02103203535079956,0.10962306708097458,0.06532755355826654,0.004677261225879192,0.5823718905448914,0.2935245864099791
2026-03-09T17:12:59.906715,5.008,left_turn,dual,neutral,0.9635174870491028,neutral,0.9635174870491028,neutral,0.4452661871910095,0.00880991667509079,0.005958045367151499,0.007383980888741434,0.9635174870491028,0.013082125224173069,0.4882997973824189,0.0057149906642735004,0.25904127955436707,0.13237813273605048,0.017381450161337852,0.27665236592292786,0.1470169054064197,0.004576188046485186,0.4452661871910095,0.22492118358636948
2026-03-09T17:13:00.914916,6.006,left_turn,dual,neutral,0.0,neutral,0.49047592282295227,neutral,0.45555731654167175,0.4256029427051544,0.0036825991701334715,0.21464276726445103,0.49047592282295227,0.0104795778170228,0.2504777460335488,0.022107917815446854,0.20337653160095215,0.11274222277883594,0.057712800800800323,0.3269040286540985,0.19230841143646552,0.0041003962978720665,0.45555731654167175,0.22982885248669874
2026-03-09T17:13:01.903187,7.005,left_turn,dual,left_turn,0.9102258086204529,left_turn,0.9102258086204529,neutral,0.5225746035575867,0.9102258086204529,0.003727622563019395,0.4569766934609152,0.04335932806134224,0.0225343219935894,0.03294682343189156,0.004180030431598425,0.35848185420036316,0.181330933534346,0.03848973661661148,0.0926816537976265,0.06558569203088434,0.0037451370153576136,0.5225746035575867,0.2631598575419629
2026-03-09T17:13:02.911075,8.003,left_turn,dual,left_turn,0.940130352973938,left_turn,0.940130352973938,neutral,0.552221953868866,0.940130352973938,0.0025810119695961475,0.4713557024455485,0.006760403048247099,0.01921853981912136,0.012989471984115406,0.0033388470765203238,0.37255993485450745,0.18794939892990295,0.04745659977197647,0.05341855809092522,0.05043758106875228,0.00231371377594769,0.552221953868866,0.2772678455716809
2026-03-09T17:13:03.901111,9.002,left_turn,dual,left_turn,0.8782610893249512,left_turn,0.8782610893249512,neutral,0.5504618287086487,0.8782610893249512,0.002472589025273919,0.44036682753785633,0.02697112038731575,0.010927096009254456,0.018949107697530714,0.004205652512609959,0.40734806656837463,0.20577685410257593,0.086368627846241,0.02879047393798828,0.05757954937050146,0.00419350853189826,0.5504618287086487,0.2773276612915356
2026-03-09T17:13:04.909999,10.002,right_turn,dual,left_turn,0.9082388281822205,left_turn,0.9082388281822205,signal_right,0.7646220922470093,0.9082388281822205,0.0023711449466645718,0.45530497818973537,0.011140975169837475,0.008127769455313683,0.00963437213536459,0.008323860354721546,0.1783495992422104,0.09333672808166558,0.06951848417520523,0.04652941972017288,0.05802395088041851,0.0027778632938861847,0.7646220922470093,0.383699970712816
2026-03-09T17:13:05.899072,11.0,right_turn,dual,neutral,0.7690127491950989,neutral,0.7690127491950989,neutral,0.3392312824726105,0.14706383645534515,0.0058297584764659405,0.07644679399507008,0.7690127491950989,0.09790970385074615,0.43346120684292744,0.037520524114370346,0.3392312824726105,0.18837589474085265,0.03709792345762253,0.3075181543827057,0.1723080310970391,0.009305080398917198,0.24951107800006866,0.12940807332411075
